MD,Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest,Date2,Date3,Settle_3,Cost_o_C,Month,Day,M_D,YMD,MD,Slope
201611,2016-11-21,345.25,350.0,344.75,349.75,142810.0,325758.0,2016-11-21,20161121,364.25,14.5,11,21,201611,20161121,201611,1
201612,2016-12-21,350.0,351.25,346.75,347.25,93326.0,696757.0,2016-12-21,20161221,361.5,14.25,12,21,201612,20161221,201612,1
201701,2017-01-24,369.25,371.0,362.25,363.25,181890.0,636887.0,2017-01-24,20170124,377.5,14.25,1,24,201701,20170124,201701,1
201702,2017-02-22,369.25,372.75,369.25,371.0,118896.0,273636.0,2017-02-22,20170222,385.5,14.5,2,22,201702,20170222,201702,1
201703,2017-03-21,363.5,364.0,359.25,361.25,143182.0,607480.0,2017-03-21,20170321,376.25,15.0,3,21,201703,20170321,201703,1
201704,2017-04-24,358.0,360.5,356.25,359.25,124732.0,199141.0,2017-04-24,20170424,372.5,13.25,4,24,201704,20170424,201704,1
201705,2017-05-19,366.0,373.0,366.0,372.5,190621.0,738461.0,2017-05-19,20170519,390.25,17.75,5,19,201705,20170519,201705,1
201706,2017-06-21,369.5,373.5,368.25,368.75,143466.0,340388.0,2017-06-21,20170621,386.75,18.0,6,21,201706,20170621,201706,1
201707,2017-07-24,375.5,377.5,371.0,377.25,112934.0,563573.0,2017-07-24,20170724,402.0,24.75,7,24,201707,20170724,201707,1
201708,2017-08-21,350.5,350.75,346.5,349.0,84479.0,276267.0,2017-08-21,20170821,375.25,26.25,8,21,201708,20170821,201708,1
201709,2017-09-22,349.75,356.25,349.5,353.5,127979.0,810779.0,2017-09-22,20170922,374.5,21.0,9,22,201709,20170922,201709,1
201710,2017-10-20,349.0,350.0,344.25,344.5,179875.0,780422.0,2017-10-20,20171020,367.25,22.75,10,20,201710,20171020,201710,1
201711,2017-11-21,344.0,345.75,342.75,345.0,230190.0,423068.0,2017-11-21,20171121,364.5,19.5,11,21,201711,20171121,201711,1
201712,2017-12-21,349.0,351.75,348.5,351.25,100066.0,858696.0,2017-12-21,20171221,367.75,16.5,12,21,201712,20171221,201712,1
201801,2018-01-23,351.75,352.0,349.5,351.25,191553.0,811625.0,2018-01-23,20180123,368.0,16.75,1,23,201801,20180123,201801,1
201802,2018-02-22,365.5,367.0,364.25,366.75,194582.0,324234.0,2018-02-22,20180222,382.5,15.75,2,22,201802,20180222,201802,1
201803,2018-03-21,375.0,375.75,373.75,375.0,140380.0,690420.0,2018-03-21,20180321,389.5,14.5,3,21,201803,20180321,201803,1
201804,2018-04-20,381.25,381.75,376.25,376.5,135146.0,297963.0,2018-04-20,20180420,393.0,16.5,4,20,201804,20180420,201804,1
201805,2018-05-21,405.5,407.5,401.25,402.75,171591.0,810077.0,2018-05-21,20180521,421.0,18.25,5,21,201805,20180521,201805,1
